month_start,subscriber_count,subscriber_count_with_card,book_event_count,book_event_per_member_with_card,estimated_book_event_count
1935-04-01,66,25,108,4.32,189.84487734487732
1935-05-01,66,27,119,4.407407407407407,189.84487734487732
1935-06-01,63,25,88,3.52,181.215564738292
1935-07-01,61,26,75,2.8846153846153846,175.4626896672351
1935-08-01,48,22,60,2.727272727272727,138.06900170536534
1935-09-01,47,24,108,4.5,135.19256416983688
1935-10-01,65,34,160,4.705882352941177,186.96843980934887
1935-11-01,84,40,177,4.425,241.62075298438933
1935-12-01,80,39,132,3.3846153846153846,230.11500284227552
1936-01-01,89,39,171,4.384615384615385,256.00294066203156
1936-02-01,105,43,162,3.7674418604651163,302.0259412304867
1936-03-01,107,41,179,4.365853658536586,307.77881630154354
1936-04-01,112,44,148,3.3636363636363638,322.16100397918575
1936-05-01,100,41,160,3.902439024390244,287.64375355284443
1936-06-01,87,39,119,3.051282051282051,250.25006559097466
1936-07-01,74,34,115,3.3823529411764706,212.85637762910488
1936-08-01,61,27,67,2.4814814814814814,175.4626896672351
1936-09-01,59,27,58,2.1481481481481484,169.7098145961782
1936-10-01,71,31,92,2.967741935483871,204.22706502251955
1936-11-01,92,41,151,3.682926829268293,264.63225326861686
1936-12-01,105,45,155,3.4444444444444446,302.0259412304867
1937-01-01,94,43,139,3.2325581395348837,270.38512833967377
1937-02-01,82,41,151,3.682926829268293,235.86787791333245
1937-03-01,84,46,153,3.3260869565217392,241.62075298438933
1937-04-01,85,46,157,3.4130434782608696,244.49719051991775
1937-05-01,81,50,171,3.42,232.991440377804
1937-06-01,67,43,135,3.13953488372093,192.72131488040574
1937-07-01,57,40,169,4.225,163.95693952512133
1937-08-01,36,31,69,2.225806451612903,103.55175127902399
1937-09-01,34,32,93,2.90625,97.79887620796711
1937-10-01,35,34,150,4.411764705882353,100.67531374349555
1937-11-01,43,42,163,3.880952380952381,123.6868140277231
1937-12-01,44,43,189,4.395348837209302,126.56325156325155
1938-01-01,47,46,210,4.565217391304348,135.19256416983688
1938-02-01,51,49,198,4.040816326530612,146.69831431195067
1938-03-01,61,54,195,3.611111111111111,175.4626896672351
1938-04-01,62,50,175,3.5,178.33912720276356
1938-05-01,61,52,210,4.038461538461538,175.4626896672351
1938-06-01,54,50,140,2.8,155.32762691853597
1938-07-01,43,42,180,4.285714285714286,123.6868140277231
1938-08-01,28,27,5,0.18518518518518517,80.54025099479644
1938-09-01,29,28,64,2.2857142857142856,83.41668853032488
1938-10-01,50,41,166,4.048780487804878,143.82187677642222
1938-11-01,82,45,190,4.222222222222222,235.86787791333245
1938-12-01,84,42,182,4.333333333333333,241.62075298438933
1939-01-01,90,51,267,5.235294117647059,258.87937819755996
1939-02-01,97,50,221,4.42,279.01444094625907
1939-03-01,105,52,253,4.865384615384615,302.0259412304867
1939-04-01,101,56,222,3.9642857142857144,290.5201910883728
1939-05-01,90,50,245,4.9,258.87937819755996
1939-06-01,93,45,194,4.311111111111111,267.5086908041453
1939-07-01,92,46,315,6.8478260869565215,264.63225326861686
1939-08-01,63,39,8,0.20512820512820512,181.215564738292
1939-09-01,47,34,19,0.5588235294117647,135.19256416983688
1939-10-01,51,31,62,2.0,146.69831431195067
1939-11-01,63,35,118,3.3714285714285714,181.215564738292
1939-12-01,69,37,142,3.8378378378378377,198.47418995146265
1940-01-01,76,41,174,4.2439024390243905,218.60925270016176
1940-02-01,88,48,202,4.208333333333333,253.1265031265031
1940-03-01,93,52,222,4.269230769230769,267.5086908041453
1940-04-01,86,48,162,3.375,247.3736280554462
1940-05-01,77,44,120,2.727272727272727,221.4856902356902
1940-06-01,64,34,46,1.3529411764705883,184.09200227382044
1940-07-01,47,26,35,1.3461538461538463,135.19256416983688
1940-08-01,46,21,54,2.5714285714285716,132.31612663430843
1940-09-01,47,22,55,2.5,135.19256416983688
1940-10-01,67,26,113,4.346153846153846,192.72131488040574
1940-11-01,79,28,83,2.9642857142857144,227.2385653067471
1940-12-01,82,27,94,3.4814814814814814,235.86787791333245
1941-01-01,90,30,87,2.9,258.87937819755996
1941-02-01,96,30,88,2.933333333333333,276.1380034107307
1941-03-01,97,29,113,3.896551724137931,279.01444094625907
1941-04-01,102,32,125,3.90625,293.39662862390134
1941-05-01,107,36,132,3.6666666666666665,307.77881630154354
1941-06-01,94,29,113,3.896551724137931,270.38512833967377
1941-07-01,81,28,140,5.0,232.991440377804
1941-08-01,60,21,47,2.238095238095238,172.58625213170666
1941-09-01,67,25,102,4.08,192.72131488040574
1941-10-01,99,33,157,4.757575757575758,284.767316017316
1941-11-01,119,40,138,3.45,342.29606672788486
1941-12-01,108,36,72,2.0,310.65525383707194
